VideoCode,MovieTitle,MovieType,Rating,RentalPrice,ProducerCode,Director,Media,TotalStock,NumberRented
251,X-Files (Irresistible),Drama,PG,2,Warner,n/a,DVD,4,0
252,X-Files (Die Hand Die Verletzt),Drama,PG,2,Pixar,n/a,CD,6,0
253,X-Files (Ascension),Drama,PG,1.5,RainTree,n/a,BlueRay,4,0
254,X-Files (One Breath),Drama,PG,2,Walt,n/a,DVD,2,0
255,X-Files (Sleepless),Drama,PG,2,RainTree,n/a,Tape,1,0
256,X-Files (Duane Barry),Drama,PG,2,Universal,n/a,DVD,4,0
257,X-Files (Little Green Men),Drama,PG,2,RainTree,n/a,DVD,6,0
258,X-Files (The Host),Drama,PG,2,Columbia,n/a,DVD,3,0
259,X-Files (Darkness Falls),Drama,PG,2,Pixar,n/a,DVD,1,0
260,X-Files (The Erlenmeyer Flask),Drama,PG,2,20th,n/a,DVD,1,0
261,X-Files (Beyound The Sea),Drama,PG,2,Columbia,n/a,CD,4,0
262,X-Files (E.B.E.),Drama,PG,1.5,20th,n/a,DVD,1,0
263,X-Files (Squeeze),Drama,PG,2,Pixar,n/a,DVD,0,0
264,X-Files (Tooms),Drama,PG,1.5,Warner,n/a,BlueRay,6,1
265,X-Files (Conduit),Drama,PG,2,Pixar,n/a,DVD,1,0
266,X-Files (Ice),Drama,PG,1.5,Walt,n/a,DVD,7,1
267,X-Files (Fallen Angel),Drama,PG,2,Warner,n/a,DVD,4,0
268,X-Files (Eve),Drama,PG,1,Walt,n/a,DVD,3,0
269,X-Files (Pilot),Drama,PG,2,Warner,n/a,DVD,5,1
270,X-Files (Deep Throat),Drama,PG,2,Universal,n/a,CD,3,0
271,Teenage Mutant Ninja Turtles,Adventure,PG,1.5,Universal,n/a,DVD,6,1
272,X-Files (The Blessing Way,Drama,PG,2,Columbia,n/a,Tape,6,1
273,X-Files (Paper Clip),Drama,PG,2,Walt,n/a,DVD,0,1
274,X-Files (Clyde Bruckman's Final Repose),Drama,PG,2,Columbia,n/a,DVD,4,0
275,X-Files (War of the Coprophages),Drama,PG,1.5,Columbia,n/a,BlueRay,4,0
276,X-Files (Nisei),Drama,PG,2,Warner,n/a,DVD,3,0
277,X-Files (731),Drama,PG,2,Walt,n/a,DVD,4,0
278,X-Files (Piper Maru),Drama,PG,2,Walt,n/a,DVD,0,0
279,X-Files (Apocrypha),Drama,PG,1,RainTree,n/a,CD,6,0
280,X-Files (Pusher),Drama,PG,2,20th,n/a,DVD,1,0
281,"X-Files (Jose Chung's ""From Outer Space"")",Drama,PG,2,Walt,n/a,DVD,3,0
282,X-Files (Wetwired),Drama,PG,1,Columbia,n/a,DVD,4,0
283,X-Files (Talitha Cumi),Drama,PG,2,Warner,n/a,DVD,6,0
284,Anastasia,Animated,U,2,20th,n/a,DVD,1,0
285,Hurcules,Animated,U,2,Warner,n/a,DVD,2,0
286,The Little Mermaid,Animated,U,2,Columbia,n/a,BlueRay,2,1
287,Bambi,Animated,U,2,RainTree,n/a,DVD,7,0
288,Fireball Forward,War,PG,2,20th,n/a,CD,5,0
289,From Hell to Victory,War,PG,2,Walt,n/a,Tape,3,0
290,The Bridge on the River Kwai,War,PG,2,Universal,n/a,DVD,1,1
291,WW II:America at War,War,PG,2,Walt,n/a,DVD,4,0
292,Die Hard 3: With a Vengeance,Action,R,2,Universal,n/a,DVD,4,0
293,Spawn,Action,R,2,RainTree,n/a,DVD,2,0
294,Private Parts,Comedy,R,2,Walt,n/a,DVD,3,0
295,Seven Years in Tibet,Drama,PG,2,Walt,n/a,DVD,6,0
296,Volcano,Drama,R,2,Universal,n/a,DVD,3,0
297,Father's Day,Comedy,R,1.5,RainTree,n/a,CD,1,0
298,The Nutty Professor,Comedy,R,2,RainTree,n/a,DVD,1,0
299,Midnight in the Garden of Good and Evil,Drama,R,1.5,Columbia,n/a,DVD,2,0
300,King Pin,Comedy,R,2,Warner,n/a,DVD,1,0
301,Liar Liar,Comedy,R,1.5,20th,n/a,DVD,1,1
302,Nothing to Lose,Comedy,R,2,Warner,n/a,DVD,1,0
303,The Saint,Action,R,1,20th,n/a,DVD,6,0
304,Dante's Peak,Drama,R,2,RainTree,n/a,DVD,2,1
305,The Devil's Own,Drama,R,2,Warner,n/a,DVD,6,1
306,The Jackle,Action,R,2,Pixar,n/a,CD,6,0
307,McHale's Navy,Comedy,R,1,Walt,n/a,DVD,1,0
308,Slingblade,Drama,R,2,Pixar,n/a,BlueRay,6,0
309,Casino,Drama,R,2,Walt,n/a,DVD,5,0
310,G. I. Jane,Drama,R,1.5,Pixar,n/a,DVD,2,0
311,Donny Brasco,Drama,R,2,RainTree,n/a,DVD,3,0
312,Mercury Rising,Action,R,2,Universal,n/a,DVD,5,0
